"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jul 05, 2026","Daron Worlwide","=""581566182706124288""","248.70347","58110","1.3199%","3364","318","82","51","62.1951%","1776.55000","1536.67000","4472","525","139","71","0","51.0791%","2779.12000","11.17443","1536.67000"
"Jul 06, 2026","Daron Worlwide","=""581566182706124288""","248.90025","56978","1.3163%","3217","346","105","68","64.7619%","2132.24000","1919.06000","4205","502","151","91","0","60.2649%","2851.23000","11.45531","1919.06000"
"Jul 07, 2026","Daron Worlwide","=""581566182706124288""","248.96073","50122","1.0993%","3222","360","109","68","62.3853%","2574.33000","2258.12000","4189","494","159","95","0","59.7484%","3429.01000","13.77330","2258.12000"
"Jul 08, 2026","Daron Worlwide","=""581566182706124288""","248.22277","48465","1.0275%","3356","354","124","84","67.7419%","2896.56000","2579.20000","4454","511","178","116","0","65.1685%","3779.61000","15.22669","2579.20000"
"Jul 09, 2026","Daron Worlwide","=""581566182706124288""","249.40518","44003","0.8818%","3323","317","107","66","61.6822%","2843.96000","1680.21000","4391","464","160","81","0","50.6250%","3613.10000","14.48687","1680.21000"
"Jul 10, 2026","Daron Worlwide","=""581566182706124288""","249.23466","52744","0.6408%","3303","344","115","70","60.8696%","2774.67000","2027.85000","4457","465","158","90","0","56.9620%","3434.40000","13.77978","2027.85000"
"Jul 11, 2026","Daron Worlwide","=""581566182706124288""","249.18402","60979","0.5526%","3462","394","91","60","65.9341%","2712.83000","2043.23000","4685","576","150","87","0","58.0000%","3627.96000","14.55936","2043.23000"
"Jul 12, 2026","Daron Worlwide","=""581566182706124288""","248.95225","62374","0.5098%","3389","321","89","62","69.6629%","1823.75000","1644.41000","4529","487","139","84","0","60.4317%","2662.13000","10.69334","1644.41000"
"Jul 13, 2026","Daron Worlwide","=""581566182706124288""","248.90448","62155","0.5422%","3222","314","73","45","61.6438%","1554.73000","1446.23000","4281","452","129","78","0","60.4651%","2495.95000","10.02774","1446.23000"
"Jul 14, 2026","Daron Worlwide","=""581566182706124288""","249.04878","64054","0.4543%","3283","371","98","74","75.5102%","2331.44000","2093.08000","4540","535","140","97","0","69.2857%","3086.12000","12.39163","2093.08000"
"Jul 15, 2026","Daron Worlwide","=""581566182706124288""","244.85865","60943","1.1207%","3189","342","96","65","67.7083%","2470.98000","2362.95000","4695","512","148","93","0","62.8378%","3483.89000","14.22817","2362.95000"
"Jul 16, 2026","Daron Worlwide","=""581566182706124288""","249.76015","58384","1.0277%","3402","334","112","69","61.6071%","2642.11000","2239.54000","4733","543","165","106","0","64.2424%","3649.79000","14.61318","2239.54000"
"Jul 17, 2026","Daron Worlwide","=""581566182706124288""","249.72664","51986","0.7675%","3501","387","135","85","62.9630%","3041.98000","2439.34000","4894","622","194","116","0","59.7938%","4033.52000","16.15174","2439.34000"
"Jul 18, 2026","Daron Worlwide","=""581566182706124288""","249.69425","53034","0.9786%","4051","398","139","82","58.9928%","2840.58000","1806.63000","5401","554","188","101","0","53.7234%","3598.15000","14.41022","1806.63000"
"Jul 19, 2026","Daron Worlwide","=""581566182706124288""","242.38924","43092","0.7356%","3615","386","99","59","59.5960%","2048.75000","1488.44000","4653","533","127","71","0","55.9055%","2582.88000","10.65592","1488.44000"
"Jul 20, 2026","Daron Worlwide","=""581566182706124288""","250.80778","46640","0.6925%","3501","379","116","76","65.5172%","2933.36000","2274.49000","4541","506","156","93","0","59.6154%","3576.36000","14.25937","2274.49000"
"Jul 21, 2026","Daron Worlwide","=""581566182706124288""","248.42954","49178","0.7829%","3486","319","105","85","80.9524%","2971.01000","3057.23000","4605","420","142","108","0","76.0563%","3649.30000","14.68948","3057.23000"
"Jul 22, 2026","Daron Worlwide","=""581566182706124288""","249.09605","48697","0.8789%","3539","442","100","58","58.0000%","2462.41000","1655.59000","4566","641","135","79","0","58.5185%","3098.48000","12.43890","1655.59000"
"Jul 23, 2026","Daron Worlwide","=""581566182706124288""","250.21864","49936","1.0393%","3154","317","88","61","69.3182%","2107.03000","1857.13000","4109","432","129","76","0","58.9147%","2815.98000","11.25408","1857.13000"
"Jul 24, 2026","Daron Worlwide","=""581566182706124288""","248.19715","51773","0.8866%","3369","267","97","69","71.1340%","2229.03000","2137.45000","4290","379","149","99","0","66.4430%","3060.53000","12.33104","2137.45000"
"Jul 25, 2026","Daron Worlwide","=""581566182706124288""","248.71279","53551","0.7582%","3671","349","120","76","63.3333%","3048.70000","2755.36000","4855","475","169","106","0","62.7219%","3967.78000","15.95326","2755.36000"
"Jul 26, 2026","Daron Worlwide","=""581566182706124288""","249.85435","45262","1.3411%","3872","371","132","77","58.3333%","2993.06000","2116.21000","5092","507","191","104","0","54.4503%","4274.94000","17.10973","2116.21000"
"Jul 27, 2026","Daron Worlwide","=""581566182706124288""","248.27410","47018","1.3144%","3229","339","112","75","66.9643%","2805.73000","2288.36000","4577","501","158","97","0","61.3924%","3540.46000","14.26029","2288.36000"
"Jul 28, 2026","Daron Worlwide","=""581566182706124288""","249.77947","47429","1.4548%","3545","308","118","82","69.4915%","2760.78000","2823.51000","4734","484","189","121","0","64.0212%","4121.81000","16.50180","2823.51000"
"Jul 29, 2026","Daron Worlwide","=""581566182706124288""","247.82150","49954","1.5574%","3802","407","97","69","71.1340%","2448.29000","2240.77000","5174","596","138","92","0","66.6667%","3138.52000","12.66444","2240.77000"
"Jul 30, 2026","Daron Worlwide","=""581566182706124288""","154.06465","29425","1.1691%","3479","400","113","74","65.4867%","2774.15000","2443.04000","4895","586","172","105","0","61.0465%","3834.56000","24.88929","2443.04000"
"Jul 31, 2026","Daron Worlwide","=""581566182706124288""","140.06521","27311","1.4719%","3362","374","104","71","68.2692%","2565.75000","2069.56000","4657","549","137","87","0","63.5036%","3130.64000","22.35130","2069.56000"
"Aug 01, 2026","Daron Worlwide","=""581566182706124288""","243.97699","47299","1.1522%","3488","413","122","69","56.5574%","3042.00000","2587.37000","4958","609","182","106","0","58.2418%","4089.11000","16.76023","2587.37000"
