"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"May 17, 2026","Dura Cleanse","=""588423770410557056""","666.36045","172764","0.2009%","967","288","150","56","37.3333%","3724.67000","0.00000","1036","314","162","63","0","38.8889%","3958.57000","5.94058","1156.77000"
"May 18, 2026","Dura Cleanse","=""588423770410557056""","664.10940","180399","0.1924%","990","270","129","40","31.0078%","3157.65000","0.00000","1050","285","134","41","0","30.5970%","3259.60000","4.90823","853.59000"
"May 19, 2026","Dura Cleanse","=""588423770410557056""","644.09392","2788530","0.0151%","1043","290","141","47","33.3333%","3452.47000","0.00000","1134","321","149","52","0","34.8993%","3661.38000","5.68454","983.40000"
"May 20, 2026","Dura Cleanse","=""588423770410557056""","628.54063","2989955","0.0134%","1002","301","118","35","29.6610%","3318.61000","0.00000","1123","334","131","36","0","27.4809%","3694.48000","5.87787","786.63000"
"May 21, 2026","Dura Cleanse","=""588423770410557056""","759.89955","1776261","0.0758%","907","242","119","41","34.4538%","2863.82000","0.00000","1023","275","124","44","0","35.4839%","3000.77000","3.94890","848.56000"
"May 22, 2026","Dura Cleanse","=""588423770410557056""","1155.64051","1632291","0.4167%","775","242","130","47","36.1538%","3292.49000","0.00000","873","278","140","52","0","37.1429%","3591.38000","3.10770","957.47000"
"May 23, 2026","Dura Cleanse","=""588423770410557056""","1128.92525","959204","0.7789%","947","283","142","57","40.1408%","3380.95000","0.00000","1057","314","149","61","0","40.9396%","3543.88000","3.13916","1207.39000"
"May 24, 2026","Dura Cleanse","=""588423770410557056""","1133.55099","433095","1.6641%","1002","267","129","47","36.4341%","3271.93000","0.00000","1121","303","149","57","0","38.2550%","3867.72000","3.41204","1194.21000"
"May 25, 2026","Dura Cleanse","=""588423770410557056""","1144.63694","284819","2.5546%","1076","284","153","63","41.1765%","3747.52000","0.00000","1216","317","171","71","0","41.5205%","4119.55000","3.59900","1530.66000"
"May 26, 2026","Dura Cleanse","=""588423770410557056""","838.22771","240527","1.0598%","1007","286","133","51","38.3459%","3121.26000","0.00000","1153","335","148","58","0","39.1892%","3669.10000","4.37721","1206.70000"
"May 27, 2026","Dura Cleanse","=""588423770410557056""","769.18686","215934","0.8410%","971","287","144","56","38.8889%","3328.27000","0.00000","1153","335","164","65","0","39.6341%","3855.23000","5.01209","1375.36000"
"May 28, 2026","Dura Cleanse","=""588423770410557056""","783.48402","246682","0.8679%","1147","301","147","56","38.0952%","3471.81000","0.00000","1301","348","165","61","0","36.9697%","3920.76000","5.00426","1240.06000"
"May 29, 2026","Dura Cleanse","=""588423770410557056""","801.10977","284266","0.7310%","1140","288","150","61","40.6667%","4151.43000","0.00000","1289","335","167","67","0","40.1198%","4592.26000","5.73237","1399.33000"
"May 30, 2026","Dura Cleanse","=""588423770410557056""","711.97395","214610","0.8005%","1188","347","161","63","39.1304%","3938.58000","0.00000","1348","383","177","70","0","39.5480%","4312.42000","6.05699","1404.30000"
