"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"May 17, 2026","Fit + Fresh","=""583173369122841984""","1617.63472","755165","0.4833%","7449","399","455","404","88.7912%","6937.85000","0.00000","8617","524","541","475","0","87.8004%","8554.77000","5.28844","7430.77000"
"May 18, 2026","Fit + Fresh","=""583173369122841984""","1605.37214","771227","0.4992%","7522","388","443","393","88.7133%","6618.15000","0.00000","8467","500","548","483","0","88.1387%","8701.69000","5.42036","7580.06000"
"May 19, 2026","Fit + Fresh","=""583173369122841984""","1547.84756","722204","0.4176%","5841","280","403","364","90.3226%","5643.82000","0.00000","6831","412","502","442","0","88.0478%","7177.34000","4.63698","6143.74000"
"May 20, 2026","Fit + Fresh","=""583173369122841984""","1667.80126","729153","0.1709%","4029","453","433","383","88.4527%","6284.83000","0.00000","5147","592","523","456","0","87.1893%","7760.68000","4.65324","6579.30000"
"May 21, 2026","Fit + Fresh","=""583173369122841984""","1543.01208","695187","0.3970%","5991","494","468","417","89.1026%","8219.02000","0.00000","7100","646","578","514","0","88.9273%","10156.68000","6.58237","9039.35000"
"May 22, 2026","Fit + Fresh","=""583173369122841984""","1564.65568","688591","0.4919%","5981","331","392","351","89.5408%","6454.85000","0.00000","6877","443","480","430","0","89.5833%","7930.54000","5.06855","6981.14000"
"May 23, 2026","Fit + Fresh","=""583173369122841984""","1551.20551","674743","0.4800%","6471","401","399","339","84.9624%","6004.57000","0.00000","7461","529","534","446","0","83.5206%","8212.49000","5.29426","6761.16000"
"May 24, 2026","Fit + Fresh","=""583173369122841984""","1566.26665","655193","0.5331%","6669","380","390","358","91.7949%","5552.98000","0.00000","7632","522","516","469","0","90.8915%","7564.49000","4.82963","6920.92000"
"May 25, 2026","Fit + Fresh","=""583173369122841984""","1551.18877","664027","0.5726%","7423","447","502","440","87.6494%","7726.23000","0.00000","8551","601","646","564","0","87.3065%","9981.71000","6.43488","8490.41000"
"May 26, 2026","Fit + Fresh","=""583173369122841984""","1550.94819","646493","0.5251%","6704","403","474","437","92.1941%","7530.98000","0.00000","7736","537","604","548","0","90.7285%","9519.55000","6.13789","8496.67000"
"May 27, 2026","Fit + Fresh","=""583173369122841984""","1579.64939","663434","0.6533%","7691","345","507","441","86.9822%","8130.73000","0.00000","8677","486","666","581","0","87.2372%","10578.47000","6.69672","9120.33000"
"May 28, 2026","Fit + Fresh","=""583173369122841984""","1550.10211","675617","0.6496%","8837","407","507","462","91.1243%","8275.43000","0.00000","9868","545","652","586","0","89.8773%","10578.04000","6.82409","9593.01000"
"May 29, 2026","Fit + Fresh","=""583173369122841984""","1526.92777","668221","0.6056%","8767","386","425","381","89.6471%","7236.36000","0.00000","9724","520","541","478","0","88.3549%","9027.17000","5.91198","7819.11000"
"May 30, 2026","Fit + Fresh","=""583173369122841984""","1355.14918","564254","0.7817%","8271","275","432","397","91.8981%","6800.36000","0.00000","9117","391","544","495","0","90.9926%","8735.28000","6.44599","8020.01000"
