"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jul 05, 2026","Future Kind+","=""585325496072533376""","133.71533","34044","0.3936%","179","72","40","1","2.5000%","1322.15000","29.99000","190","80","44","1","0","2.2727%","1421.54000","10.63109","29.99000"
"Jul 06, 2026","Future Kind+","=""585325496072533376""","132.21856","35742","0.3917%","198","58","20","0","0.0000%","622.95000","0.00000","209","65","22","0","0","0.0000%","684.31000","5.17560","0.00000"
"Jul 07, 2026","Future Kind+","=""585325496072533376""","132.55192","34594","0.3093%","202","67","39","3","7.6923%","1235.43000","79.93000","212","73","42","3","0","7.1429%","1314.40000","9.91611","79.93000"
"Jul 08, 2026","Future Kind+","=""585325496072533376""","132.43939","30206","0.3973%","166","54","34","1","2.9412%","993.25000","29.99000","192","62","35","1","0","2.8571%","1017.24000","7.68080","29.99000"
"Jul 09, 2026","Future Kind+","=""585325496072533376""","131.64098","34273","0.2743%","144","56","34","0","0.0000%","1130.80000","0.00000","155","67","38","0","0","0.0000%","1251.77000","9.50897","0.00000"
"Jul 10, 2026","Future Kind+","=""585325496072533376""","133.56268","30173","0.3215%","174","57","32","2","6.2500%","955.42000","59.94000","188","60","34","2","0","5.8824%","1003.40000","7.51258","59.94000"
"Jul 11, 2026","Future Kind+","=""585325496072533376""","132.87102","25573","0.3207%","159","53","29","4","13.7931%","858.38000","99.92000","176","61","31","4","0","12.9032%","931.35000","7.00943","99.92000"
"Jul 12, 2026","Future Kind+","=""585325496072533376""","133.08602","27514","0.2326%","163","64","33","2","6.0606%","968.05000","59.94000","183","80","37","2","0","5.4054%","1061.92000","7.97920","59.94000"
"Jul 13, 2026","Future Kind+","=""585325496072533376""","133.52672","29487","0.2645%","188","50","32","3","9.3750%","923.08000","78.93000","212","56","35","3","0","8.5714%","997.09000","7.46734","78.93000"
"Jul 14, 2026","Future Kind+","=""585325496072533376""","132.67689","27193","0.2905%","198","63","28","0","0.0000%","801.51000","0.00000","206","70","32","0","0","0.0000%","906.47000","6.83216","0.00000"
"Jul 15, 2026","Future Kind+","=""585325496072533376""","131.54141","30431","0.3878%","140","62","34","2","5.8824%","964.56000","59.98000","148","65","34","2","0","5.8824%","964.56000","7.33275","59.98000"
"Jul 16, 2026","Future Kind+","=""585325496072533376""","133.02592","34617","0.2831%","150","56","37","2","5.4054%","1123.89000","84.89000","169","65","39","3","0","7.6923%","1184.88000","8.90714","84.89000"
"Jul 17, 2026","Future Kind+","=""585325496072533376""","132.58770","28803","0.2430%","134","46","29","0","0.0000%","851.74000","0.00000","152","49","29","0","0","0.0000%","851.74000","6.42397","0.00000"
"Jul 18, 2026","Future Kind+","=""585325496072533376""","133.98562","27079","0.3287%","167","44","30","0","0.0000%","853.29000","0.00000","184","53","31","0","0","0.0000%","883.28000","6.59235","0.00000"
"Jul 19, 2026","Future Kind+","=""585325496072533376""","132.98372","27061","0.3141%","130","55","41","1","2.4390%","1416.25000","29.99000","151","66","47","1","0","2.1277%","1569.19000","11.79987","29.99000"
"Jul 20, 2026","Future Kind+","=""585325496072533376""","131.64452","27540","0.3050%","155","65","31","1","3.2258%","914.90000","29.95000","177","73","32","1","0","3.1250%","929.82000","7.06311","29.95000"
"Jul 21, 2026","Future Kind+","=""585325496072533376""","132.95692","24440","0.3273%","158","53","28","4","14.2857%","874.69000","104.97000","178","61","32","4","0","12.5000%","963.78000","7.24881","104.97000"
"Jul 22, 2026","Future Kind+","=""585325496072533376""","133.38247","31431","0.2545%","128","59","30","0","0.0000%","886.39000","0.00000","138","73","36","0","0","0.0000%","1040.17000","7.79840","0.00000"
"Jul 23, 2026","Future Kind+","=""585325496072533376""","133.71221","31639","0.4425%","132","52","32","3","9.3750%","1014.03000","87.89000","141","57","34","3","0","8.8235%","1042.78000","7.79869","87.89000"
"Jul 24, 2026","Future Kind+","=""585325496072533376""","130.55801","32139","0.4294%","168","43","25","0","0.0000%","732.16000","19.99000","183","47","26","1","0","3.8462%","752.15000","5.76104","19.99000"
"Jul 25, 2026","Future Kind+","=""585325496072533376""","134.03353","32287","0.3717%","158","41","17","1","5.8824%","525.59000","19.99000","168","48","20","1","0","5.0000%","595.56000","4.44337","19.99000"
"Jul 26, 2026","Future Kind+","=""585325496072533376""","133.15825","33135","0.2927%","158","60","32","3","9.3750%","883.59000","79.97000","178","65","35","3","0","8.5714%","962.00000","7.22449","79.97000"
"Jul 27, 2026","Future Kind+","=""585325496072533376""","133.68064","36691","0.2644%","168","71","45","1","2.2222%","1427.25000","59.94000","178","80","53","2","0","3.7736%","1572.60000","11.76386","59.94000"
"Jul 28, 2026","Future Kind+","=""585325496072533376""","127.31671","29491","0.3832%","140","62","36","1","2.7778%","1113.67000","29.95000","145","68","38","1","0","2.6316%","1160.65000","9.11624","29.95000"
"Jul 29, 2026","Future Kind+","=""585325496072533376""","104.09740","27540","0.3776%","153","57","26","0","0.0000%","867.72000","0.00000","170","70","30","0","0","0.0000%","948.17000","9.10849","0.00000"
"Jul 30, 2026","Future Kind+","=""585325496072533376""","96.71359","29288","0.2561%","130","76","27","0","0.0000%","745.04000","0.00000","150","90","29","0","0","0.0000%","835.00000","8.63374","0.00000"
"Jul 31, 2026","Future Kind+","=""585325496072533376""","88.84723","24419","0.3194%","124","59","42","0","0.0000%","1147.10000","0.00000","135","66","44","0","0","0.0000%","1192.08000","13.41719","0.00000"
"Aug 01, 2026","Future Kind+","=""585325496072533376""","0.06452","25","0.0000%","90","57","20","1","5.0000%","637.46000","28.95000","102","65","22","1","0","4.5455%","677.44000","10499.69002","28.95000"
