"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jun 14, 2026","Healthy Bones","=""583037427587416064""","1453.64307","317641","0.1914%","902","182","117","15","12.8205%","6173.70000","626.27000","920","186","118","15","0","12.7119%","6222.68000","4.28075","626.27000"
"Jun 15, 2026","Healthy Bones","=""583037427587416064""","1465.66084","223432","0.2292%","772","139","119","16","13.4454%","6140.12000","820.08000","781","140","119","16","0","13.4454%","6140.13000","4.18933","820.08000"
"Jun 16, 2026","Healthy Bones","=""583037427587416064""","1417.09887","432718","0.3159%","816","157","113","28","24.7788%","5640.00000","1359.09000","822","157","113","28","0","24.7788%","5640.00000","3.97996","1359.09000"
"Jun 17, 2026","Healthy Bones","=""583037427587416064""","1452.98395","464536","0.2504%","922","181","111","24","21.6216%","5899.41000","1296.14000","936","182","111","24","0","21.6216%","5899.41000","4.06020","1296.14000"
"Jun 18, 2026","Healthy Bones","=""583037427587416064""","1457.62854","444319","0.2008%","770","144","97","24","24.7423%","5327.31000","1343.87000","786","144","97","24","0","24.7423%","5327.31000","3.65478","1343.87000"
"Jun 19, 2026","Healthy Bones","=""583037427587416064""","1112.05493","406380","0.1649%","646","166","105","18","17.1429%","5528.71000","874.11000","663","168","105","18","0","17.1429%","5528.71000","4.97162","874.11000"
"Jun 20, 2026","Healthy Bones","=""583037427587416064""","1510.75213","719242","0.0852%","617","146","85","14","16.4706%","4447.79000","711.68000","631","148","85","14","0","16.4706%","4447.79000","2.94409","711.68000"
"Jun 21, 2026","Healthy Bones","=""583037427587416064""","1387.24306","585025","0.0764%","596","152","96","19","19.7917%","5197.77000","982.15000","609","153","96","19","0","19.7917%","5197.77000","3.74683","982.15000"
"Jun 22, 2026","Healthy Bones","=""583037427587416064""","1318.29234","522393","0.1018%","768","167","100","20","20.0000%","5363.12000","938.46000","800","167","100","20","0","20.0000%","5363.12000","4.06823","938.46000"
"Jun 23, 2026","Healthy Bones","=""583037427587416064""","3877.01024","758183","0.1347%","2297","982","682","87","12.7566%","40395.55000","4637.43000","2313","983","682","87","0","12.7566%","40395.55000","10.41925","4637.43000"
"Jun 24, 2026","Healthy Bones","=""583037427587416064""","4123.69581","717857","0.1022%","1701","626","457","74","16.1926%","26649.34000","3522.99000","1722","627","457","74","0","16.1926%","26649.34000","6.46249","3522.99000"
"Jun 25, 2026","Healthy Bones","=""583037427587416064""","4188.80342","373780","0.2756%","1621","432","327","58","17.7370%","18253.47000","3282.40000","1624","432","327","58","0","17.7370%","18253.47000","4.35768","3282.40000"
"Jun 26, 2026","Healthy Bones","=""583037427587416064""","3575.32538","263561","0.2542%","1405","388","343","70","20.4082%","18946.88000","3815.65000","1412","389","343","70","0","20.4082%","18946.88000","5.29934","3815.65000"
"Jun 27, 2026","Healthy Bones","=""583037427587416064""","1694.05208","179258","0.2510%","970","188","130","25","19.2308%","6897.55000","1315.42000","979","192","130","25","0","19.2308%","6897.55000","4.07163","1315.42000"
"Jun 28, 2026","Healthy Bones","=""583037427587416064""","1683.96931","199223","0.2480%","845","130","100","18","18.0000%","5597.55000","890.00000","858","130","100","18","0","18.0000%","5597.55000","3.32402","890.00000"
"Jun 29, 2026","Healthy Bones","=""583037427587416064""","1826.48873","717914","0.0547%","707","154","110","22","20.0000%","5818.31000","1291.20000","720","158","112","23","0","20.5357%","6098.31000","3.33882","1291.20000"
"Jun 30, 2026","Healthy Bones","=""583037427587416064""","1697.81719","217133","0.1755%","987","152","107","34","31.7757%","5542.66000","2038.15000","1028","162","112","36","0","32.1429%","6262.66000","3.68865","2038.15000"
"Jul 01, 2026","Healthy Bones","=""583037427587416064""","1933.20963","553385","0.0902%","904","167","104","33","31.7308%","6265.97000","2248.04000","926","171","105","33","0","31.4286%","6425.97000","3.32399","2248.04000"
"Jul 02, 2026","Healthy Bones","=""583037427587416064""","1876.46845","363090","0.2603%","970","121","89","19","21.3483%","4984.11000","1004.42000","999","125","91","19","0","20.8791%","5264.11000","2.80533","1004.42000"
"Jul 03, 2026","Healthy Bones","=""583037427587416064""","1892.34802","428023","0.2570%","937","135","94","22","23.4043%","5026.40000","1247.36000","958","137","96","23","0","23.9583%","5306.40000","2.80414","1247.36000"
"Jul 04, 2026","Healthy Bones","=""583037427587416064""","1872.81873","674603","0.1515%","681","126","112","26","23.2143%","6098.34000","1385.52000","690","129","115","26","0","22.6087%","6578.34000","3.51253","1385.52000"
"Jul 05, 2026","Healthy Bones","=""583037427587416064""","1875.23299","350076","0.2754%","999","156","109","20","18.3486%","5852.27000","1274.43000","1037","162","111","21","0","18.9189%","6132.27000","3.27014","1274.43000"
