"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Aug 09, 2026","Honey Bae","=""583694288900704896""","516.29982","187911","0.1990%","435","77","57","32","56.1404%","2027.48000","1114.13000","435","77","57","32","0","56.1404%","2027.48000","3.92694","1114.13000"
"Aug 10, 2026","Honey Bae","=""583694288900704896""","515.05998","194786","0.1812%","517","92","51","25","49.0196%","1723.91000","874.75000","517","92","51","25","0","49.0196%","1723.91000","3.34701","874.75000"
"Aug 11, 2026","Honey Bae","=""583694288900704896""","510.99634","203213","0.1791%","489","107","61","31","50.8197%","2136.26000","1085.42000","489","107","61","31","0","50.8197%","2136.26000","4.18058","1085.42000"
"Aug 12, 2026","Honey Bae","=""583694288900704896""","506.80744","209917","0.1653%","467","88","65","37","56.9231%","2241.22000","1295.38000","467","88","65","37","0","56.9231%","2241.22000","4.42223","1295.38000"
"Aug 13, 2026","Honey Bae","=""583694288900704896""","439.37170","221032","0.1543%","536","107","66","38","57.5758%","2345.99000","1364.85000","536","107","66","38","0","57.5758%","2345.99000","5.33942","1364.85000"
"Aug 14, 2026","Honey Bae","=""583694288900704896""","210.22659","107448","0.1685%","286","78","44","18","40.9091%","1574.54000","663.86000","286","78","44","18","0","40.9091%","1574.54000","7.48973","663.86000"
"Aug 15, 2026","Honey Bae","=""583694288900704896""","0.00000","0","0.0000%","120","55","25","11","44.0000%","978.71000","418.88000","120","55","25","11","0","44.0000%","978.71000","0.00000","418.88000"
"Aug 16, 2026","Honey Bae","=""583694288900704896""","0.00000","0","0.0000%","87","22","15","5","33.3333%","526.14000","174.95000","87","22","15","5","0","33.3333%","526.14000","0.00000","174.95000"
"Aug 17, 2026","Honey Bae","=""583694288900704896""","266.42793","48135","0.3199%","241","40","26","7","26.9231%","910.57000","244.93000","241","40","26","7","0","26.9231%","910.57000","3.41770","244.93000"
"Aug 18, 2026","Honey Bae","=""583694288900704896""","675.02137","320326","0.1264%","511","96","56","35","62.5000%","2064.18000","1223.36000","511","96","56","35","0","62.5000%","2064.18000","3.05795","1223.36000"
"Aug 19, 2026","Honey Bae","=""583694288900704896""","399.03415","157330","0.2676%","439","53","40","20","50.0000%","1435.95000","732.32000","439","53","40","20","0","50.0000%","1435.95000","3.59856","732.32000"
"Aug 20, 2026","Honey Bae","=""583694288900704896""","323.39214","131256","0.2811%","429","80","53","26","49.0566%","1888.35000","909.08000","429","80","53","26","0","49.0566%","1888.35000","5.83920","909.08000"
"Aug 21, 2026","Honey Bae","=""583694288900704896""","261.21698","85799","0.2576%","314","72","49","24","48.9796%","1703.68000","838.81000","314","72","49","24","0","48.9796%","1703.68000","6.52209","838.81000"
