"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"May 24, 2026","Jarmino","=""582909778115612800""","404.35026","182911","0.1684%","345","15","7","4","57.1429%","0.00000","0.00000","351","18","8","4","0","50.0000%","0.00000","0.00000","0.00000"
"May 25, 2026","Jarmino","=""582909778115612800""","446.07423","162599","0.2718%","597","10","7","1","14.2857%","0.00000","0.00000","610","14","7","1","0","14.2857%","0.00000","0.00000","0.00000"
"May 26, 2026","Jarmino","=""582909778115612800""","740.44071","226394","0.2977%","654","28","14","1","7.1429%","0.00000","0.00000","659","29","14","1","0","7.1429%","0.00000","0.00000","0.00000"
"May 27, 2026","Jarmino","=""582909778115612800""","784.31723","425542","0.2639%","958","31","12","2","16.6667%","0.00000","0.00000","959","31","12","2","0","16.6667%","0.00000","0.00000","0.00000"
"May 28, 2026","Jarmino","=""582909778115612800""","966.66402","539352","0.1222%","631","25","10","6","60.0000%","0.00000","0.00000","633","25","10","6","0","60.0000%","0.00000","0.00000","0.00000"
"May 29, 2026","Jarmino","=""582909778115612800""","965.78405","499671","0.1003%","539","29","4","3","75.0000%","0.00000","0.00000","540","29","4","3","0","75.0000%","0.00000","0.00000","0.00000"
"May 30, 2026","Jarmino","=""582909778115612800""","905.81037","495635","0.1374%","648","21","4","1","25.0000%","0.00000","0.00000","650","21","4","1","0","25.0000%","0.00000","0.00000","0.00000"
"May 31, 2026","Jarmino","=""582909778115612800""","803.69572","497270","0.1834%","748","38","11","4","36.3636%","0.00000","0.00000","755","39","12","4","0","33.3333%","0.00000","0.00000","0.00000"
"Jun 01, 2026","Jarmino","=""582909778115612800""","748.87054","578488","0.1692%","732","34","18","7","38.8889%","0.00000","0.00000","733","35","19","7","0","36.8421%","0.00000","0.00000","0.00000"
"Jun 02, 2026","Jarmino","=""582909778115612800""","1086.68874","847872","0.1003%","833","26","14","7","50.0000%","0.00000","0.00000","839","27","14","7","0","50.0000%","0.00000","0.00000","0.00000"
"Jun 03, 2026","Jarmino","=""582909778115612800""","1889.59857","2171734","0.0964%","1697","55","17","8","47.0588%","0.00000","0.00000","1703","57","19","9","0","47.3684%","0.00000","0.00000","0.00000"
"Jun 04, 2026","Jarmino","=""582909778115612800""","1772.92752","1857891","0.0932%","1413","48","13","3","23.0769%","0.00000","0.00000","1426","48","13","3","0","23.0769%","0.00000","0.00000","0.00000"
"Jun 05, 2026","Jarmino","=""582909778115612800""","1822.72642","1460084","0.1231%","1373","34","10","3","30.0000%","0.00000","0.00000","1383","37","11","4","0","36.3636%","0.00000","0.00000","0.00000"
"Jun 06, 2026","Jarmino","=""582909778115612800""","1608.05200","1362121","0.1659%","1485","37","8","4","50.0000%","0.00000","0.00000","1490","38","8","4","0","50.0000%","0.00000","0.00000","0.00000"
