"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jul 12, 2026","Mirai Clinical","=""586159270639080960""","4415.24140","856638","0.5504%","3543","920","341","115","33.7243%","7759.48000","2351.48000","3640","934","342","115","0","33.6257%","7759.48000","1.75743","2351.48000"
"Jul 13, 2026","Mirai Clinical","=""586159270639080960""","4278.93690","917695","0.5042%","3531","873","357","143","40.0560%","7816.21000","2908.74000","3620","890","360","143","0","39.7222%","7915.12000","1.84979","2908.74000"
"Jul 14, 2026","Mirai Clinical","=""586159270639080960""","4127.92399","862798","0.4334%","3805","986","344","141","40.9884%","8956.33000","2924.74000","3876","992","345","142","0","41.1594%","8979.30000","2.17526","2924.74000"
"Jul 15, 2026","Mirai Clinical","=""586159270639080960""","4042.77836","966694","0.3000%","3535","828","339","131","38.6431%","8006.81000","2774.03000","3636","848","343","131","0","38.1924%","8160.66000","2.01858","2774.03000"
"Jul 16, 2026","Mirai Clinical","=""586159270639080960""","4113.88992","1042708","0.2163%","2945","756","312","98","31.4103%","7781.25000","2309.93000","3058","784","316","101","0","31.9620%","7901.13000","1.92060","2309.93000"
"Jul 17, 2026","Mirai Clinical","=""586159270639080960""","3962.54351","825208","0.3444%","3334","706","270","100","37.0370%","6622.38000","2287.69000","3462","725","275","100","0","36.3636%","6793.23000","1.71436","2287.69000"
"Jul 18, 2026","Mirai Clinical","=""586159270639080960""","3876.91873","868222","0.2793%","3455","838","287","99","34.4948%","7419.86000","2513.38000","3569","865","294","102","0","34.6939%","7649.65000","1.97313","2513.38000"
"Jul 19, 2026","Mirai Clinical","=""586159270639080960""","3911.90246","946641","0.2010%","3580","815","315","104","33.0159%","8110.16000","2577.95000","3689","834","319","106","0","33.2288%","8204.04000","2.09720","2577.95000"
"Jul 20, 2026","Mirai Clinical","=""586159270639080960""","3902.44044","922696","0.1945%","3366","742","293","104","35.4949%","7225.58000","2326.05000","3514","775","297","105","0","35.3535%","7334.46000","1.87945","2326.05000"
"Jul 21, 2026","Mirai Clinical","=""586159270639080960""","3888.53670","931363","0.2061%","3291","710","248","89","35.8871%","5696.73000","1970.24000","3436","745","252","90","0","35.7143%","5831.61000","1.49969","1970.24000"
"Jul 22, 2026","Mirai Clinical","=""586159270639080960""","3870.56628","924214","0.1666%","3223","759","272","89","32.7206%","6743.18000","1899.31000","3363","790","277","89","0","32.1300%","6922.00000","1.78837","1899.31000"
"Jul 23, 2026","Mirai Clinical","=""586159270639080960""","3905.12124","981379","0.1494%","3072","804","279","87","31.1828%","7348.29000","2099.93000","3198","827","290","91","0","31.3793%","7617.96000","1.95076","2099.93000"
"Jul 24, 2026","Mirai Clinical","=""586159270639080960""","3849.51122","1038770","0.1456%","3368","692","268","82","30.5970%","6767.33000","1941.65000","3517","714","270","82","0","30.3704%","6849.24000","1.77925","1941.65000"
"Jul 25, 2026","Mirai Clinical","=""586159270639080960""","3909.62024","1120807","0.1484%","3519","830","286","80","27.9720%","7193.25000","1790.73000","3666","847","290","82","0","28.2759%","7298.13000","1.86671","1790.73000"
"Jul 26, 2026","Mirai Clinical","=""586159270639080960""","3888.60271","1199841","0.1374%","3442","901","325","110","33.8462%","7757.23000","2543.93000","3588","932","328","111","0","33.8415%","7826.14000","2.01258","2543.93000"
"Jul 27, 2026","Mirai Clinical","=""586159270639080960""","3889.65978","1231767","0.1232%","3110","851","311","116","37.2990%","7293.27000","2615.21000","3261","884","316","116","0","36.7089%","7447.12000","1.91459","2615.21000"
"Jul 28, 2026","Mirai Clinical","=""586159270639080960""","3860.50156","1128446","0.1241%","3457","861","261","96","36.7816%","6069.22000","2081.72000","3602","883","264","97","0","36.7424%","6140.13000","1.59050","2081.72000"
"Jul 29, 2026","Mirai Clinical","=""586159270639080960""","3855.75107","1074000","0.1420%","3512","1059","315","122","38.7302%","7367.07000","2787.42000","3664","1095","324","123","0","37.9630%","7594.81000","1.96974","2787.42000"
"Jul 30, 2026","Mirai Clinical","=""586159270639080960""","2503.05420","733596","0.1228%","3079","904","333","132","39.6396%","8189.99000","2906.87000","3215","926","337","134","0","39.7626%","8281.87000","3.30871","2906.87000"
"Jul 31, 2026","Mirai Clinical","=""586159270639080960""","2314.00796","706647","0.1520%","3040","946","305","131","42.9508%","7792.35000","3075.63000","3140","969","306","131","0","42.8105%","7817.32000","3.37826","3075.63000"
"Aug 01, 2026","Mirai Clinical","=""586159270639080960""","2805.05317","1068040","0.1012%","3182","952","282","113","40.0709%","7093.80000","2744.86000","3259","969","282","113","0","40.0709%","7093.80000","2.52894","2744.86000"
"Aug 02, 2026","Mirai Clinical","=""586159270639080960""","2831.24794","852858","0.1425%","3453","1091","337","143","42.4332%","8912.61000","3416.68000","3553","1109","337","143","0","42.4332%","8912.61000","3.14794","3416.68000"
"Aug 03, 2026","Mirai Clinical","=""586159270639080960""","2812.85192","980519","0.1996%","3354","1007","300","136","45.3333%","7754.91000","3299.36000","3502","1031","300","136","0","45.3333%","7754.91000","2.75696","3299.36000"
"Aug 04, 2026","Mirai Clinical","=""586159270639080960""","2825.75076","996057","0.1375%","3138","971","242","99","40.9091%","6397.57000","2329.12000","3274","989","244","99","0","40.5738%","6445.51000","2.28099","2329.12000"
"Aug 05, 2026","Mirai Clinical","=""586159270639080960""","2846.67362","1038560","0.2097%","2942","871","261","115","44.0613%","6485.97000","2599.09000","3063","890","265","115","0","43.3962%","6577.86000","2.31072","2599.09000"
"Aug 06, 2026","Mirai Clinical","=""586159270639080960""","2711.17960","1125089","0.1713%","3144","888","242","93","38.4298%","6505.95000","2127.25000","3301","921","246","94","0","38.2114%","6612.84000","2.43910","2127.25000"
"Aug 07, 2026","Mirai Clinical","=""586159270639080960""","2871.20605","829573","0.1680%","3678","1046","251","115","45.8167%","6475.80000","2859.61000","3870","1092","252","115","0","45.6349%","6498.77000","2.26343","2859.61000"
"Aug 08, 2026","Mirai Clinical","=""586159270639080960""","2842.53898","899051","0.1091%","3394","1046","247","121","48.9879%","6912.24000","3178.67000","3571","1079","249","122","0","48.9960%","6958.18000","2.44787","3178.67000"
