"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"May 31, 2026","Paradise Naturals","=""588077709036860800""","116.71877","70696","0.1443%","152","27","12","2","16.6667%","542.24000","87.98000","152","27","12","2","0","16.6667%","542.24000","4.64570","87.98000"
"Jun 01, 2026","Paradise Naturals","=""588077709036860800""","165.69688","146570","0.0621%","171","25","8","1","12.5000%","282.75000","33.16000","171","25","8","1","0","12.5000%","282.75000","1.70643","33.16000"
"Jun 02, 2026","Paradise Naturals","=""588077709036860800""","173.63233","110875","0.0938%","143","22","8","1","12.5000%","302.55000","19.99000","143","22","8","1","0","12.5000%","302.55000","1.74248","19.99000"
"Jun 03, 2026","Paradise Naturals","=""588077709036860800""","75.09315","59827","0.0852%","144","31","15","2","13.3333%","633.13000","99.98000","144","31","15","2","0","13.3333%","633.13000","8.43126","99.98000"
"Jun 04, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","81","22","6","0","0.0000%","233.07000","0.00000","81","22","6","0","0","0.0000%","233.07000","0.00000","0.00000"
"Jun 05, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","87","22","8","1","12.5000%","279.92000","19.99000","87","22","8","1","0","12.5000%","279.92000","0.00000","19.99000"
"Jun 06, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","66","27","12","2","16.6667%","356.68000","57.98000","66","27","12","2","0","16.6667%","356.68000","0.00000","57.98000"
"Jun 07, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","59","12","5","1","20.0000%","195.95000","37.99000","59","12","5","1","0","20.0000%","195.95000","0.00000","37.99000"
"Jun 08, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","43","14","8","1","12.5000%","308.90000","8.15000","43","14","8","1","0","12.5000%","308.90000","0.00000","8.15000"
"Jun 09, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","62","21","6","0","0.0000%","255.01000","0.00000","62","21","6","0","0","0.0000%","255.01000","0.00000","0.00000"
"Jun 10, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","41","12","7","2","28.5714%","357.92000","69.98000","41","12","7","2","0","28.5714%","357.92000","0.00000","69.98000"
"Jun 11, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","43","9","3","0","0.0000%","149.97000","0.00000","43","9","3","0","0","0.0000%","149.97000","0.00000","0.00000"
"Jun 12, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","30","5","1","0","0.0000%","37.99000","0.00000","30","5","1","0","0","0.0000%","37.99000","0.00000","0.00000"
"Jun 13, 2026","Paradise Naturals","=""588077709036860800""","0.00000","0","0.0000%","29","9","6","0","0.0000%","227.94000","0.00000","29","9","6","0","0","0.0000%","227.94000","0.00000","0.00000"
