Start Date,End Date,Brand,Conversion path,Sales,Purchases,New-to-brand product sales,New-to-brand purchases,Sponsored Brands display frequency,Sponsored Display display frequency,Amazon DSP display frequency,Sponsored Brands video frequency,Amazon DSP online video frequency,Sponsored TV Streaming TV frequency,Amazon DSP Streaming TV frequency,Amazon DSP audio frequency,Sponsored Products frequency,Sponsored Display frequency,Sponsored Display online video frequency,Currency
2026-07-08,2026-07-25,Primal Queen,(Sponsored Display) > Sponsored Products > Display (Amazon DSP) > [Purchase],407.0,7.0,349.0,6.0,0.0,0.0,5.714285714285714,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,19.857142857142858,0.0,USD
2026-07-07,2026-07-26,Primal Queen,Sponsored Products > Display (Sponsored Brands) > Display (Amazon DSP) > [Purchase],612.0,3.0,612.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Online Video (Sponsored Brands) > Sponsored Products > [Purchase],3771.0,59.0,2663.0,43.0,0.0,0.0,0.0,1.11864406779661,0.0,0.0,0.0,0.0,1.6779661016949152,0.0,0.0,USD
2026-07-04,2026-07-30,Primal Queen,Display (Amazon DSP) >  (Sponsored Display) > Sponsored Products > [Purchase],822.0,13.0,0.0,0.0,0.0,0.0,33.38461538461539,0.0,0.0,0.0,0.0,0.0,2.769230769230769,5.538461538461538,0.0,USD
2026-07-16,2026-07-21,Primal Queen,Display (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products > [Purchase],174.0,3.0,116.0,2.0,1.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,USD
2026-07-03,2026-07-29,Primal Queen,Online Video (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products > [Purchase],290.0,5.0,174.0,3.0,0.0,0.0,2.0,1.4,0.0,0.0,0.0,0.0,1.2,0.0,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Sponsored Products > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],4453.0,72.0,2503.0,42.0,0.0,0.0,18.194444444444443,0.0,0.0,0.0,0.0,0.0,2.9027777777777777,11.027777777777779,0.0,USD
2026-07-03,2026-07-28,Primal Queen,Display (Sponsored Brands) > [Purchase],937.0,15.0,638.0,11.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-07-03,2026-07-30,Primal Queen,Online Video (Sponsored Brands) > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],174.0,3.0,174.0,3.0,0.0,0.0,1.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,USD
2026-07-07,2026-07-23,Primal Queen,Online Video (Sponsored Brands) > Display (Sponsored Brands) > [Purchase],116.0,2.0,116.0,2.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-07-15,2026-07-31,Primal Queen,Online Video (Sponsored Brands) >  (Sponsored Display) > Sponsored Products > [Purchase],116.0,2.0,116.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,13.0,0.0,USD
2026-07-08,2026-07-30,Primal Queen,(Sponsored Display) > Sponsored Products > [Purchase],1231.0,20.0,1056.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,3.85,0.0,USD
2026-07-04,2026-07-31,Primal Queen,Display (Amazon DSP) > Online Video (Sponsored Brands) > [Purchase],1168.0,16.0,58.0,1.0,0.0,0.0,10.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
