"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jun 21, 2026","Primal Queen","=""580321455341430272""","118.79556","29113","0.2061%","86","30","4","0","0.0000%","228.98000","396.00000","280","110","40","7","0","17.5000%","2579.31000","21.71218","396.00000"
"Jun 22, 2026","Primal Queen","=""580321455341430272""","110.16487","27721","0.2309%","93","29","6","1","16.6667%","342.73000","340.00000","274","105","45","5","0","11.1111%","3015.48000","27.37243","340.00000"
"Jun 23, 2026","Primal Queen","=""580321455341430272""","309.21473","55460","0.1947%","205","58","16","1","6.2500%","734.37000","371.75000","755","330","112","8","0","7.1429%","6533.23000","21.12846","371.75000"
"Jun 24, 2026","Primal Queen","=""580321455341430272""","330.93719","67622","0.1390%","145","28","16","4","25.0000%","674.81000","684.60000","499","167","105","14","0","13.3333%","5643.36000","17.05266","684.60000"
"Jun 25, 2026","Primal Queen","=""580321455341430272""","319.01099","55030","0.1672%","137","45","11","3","27.2727%","473.48000","607.05000","459","188","103","12","0","11.6505%","5588.95000","17.51962","607.05000"
"Jun 26, 2026","Primal Queen","=""580321455341430272""","297.92478","45434","0.1915%","155","36","11","1","9.0909%","513.95000","371.75000","496","185","81","8","0","9.8765%","4205.71000","14.11668","371.75000"
"Jun 27, 2026","Primal Queen","=""580321455341430272""","150.51828","36017","0.2665%","136","16","9","1","11.1111%","469.87000","536.40000","350","64","42","8","0","19.0476%","2498.86000","16.60170","536.40000"
"Jun 28, 2026","Primal Queen","=""580321455341430272""","149.82620","37507","0.3226%","152","35","9","1","11.1111%","472.33000","232.00000","397","107","41","4","0","9.7561%","2458.94000","16.41195","232.00000"
"Jun 29, 2026","Primal Queen","=""580321455341430272""","145.26680","40291","0.2383%","167","35","15","1","6.6667%","768.14000","174.00000","409","101","52","3","0","5.7692%","3136.79000","21.59330","174.00000"
"Jun 30, 2026","Primal Queen","=""580321455341430272""","132.91388","33999","0.2177%","102","22","12","2","16.6667%","653.01000","174.02000","302","81","43","5","0","11.6279%","2642.31000","19.87987","174.02000"
"Jul 01, 2026","Primal Queen","=""580321455341430272""","107.37772","40890","0.1052%","95","22","7","0","0.0000%","393.99000","174.00000","276","77","45","3","0","6.6667%","2658.92000","24.76231","174.00000"
"Jul 02, 2026","Primal Queen","=""580321455341430272""","166.91632","47514","0.1600%","172","30","15","0","0.0000%","867.78000","348.00000","407","110","63","6","0","9.5238%","3896.73000","23.34541","348.00000"
"Jul 03, 2026","Primal Queen","=""580321455341430272""","168.93785","47474","0.1453%","116","34","11","1","9.0909%","696.00000","290.00000","312","109","41","5","0","12.1951%","2808.00000","16.62150","290.00000"
"Jul 04, 2026","Primal Queen","=""580321455341430272""","168.71858","44255","0.1378%","87","23","4","0","0.0000%","232.00000","174.00000","231","83","26","3","0","11.5385%","1650.00000","9.77960","174.00000"
