Start Date,End Date,Brand,Conversion path,Sales,Purchases,New-to-brand product sales,New-to-brand purchases,Sponsored Brands display frequency,Sponsored Display display frequency,Amazon DSP display frequency,Sponsored Brands video frequency,Amazon DSP online video frequency,Sponsored TV Streaming TV frequency,Amazon DSP Streaming TV frequency,Amazon DSP audio frequency,Sponsored Products frequency,Sponsored Display frequency,Sponsored Display online video frequency,Currency
2026-08-01 00:00:00,2026-08-17 00:00:00,ProBiora Health,Online Video (Amazon DSP) > Display (Amazon DSP) > [Purchase],278.65,7.0,39.95,1.0,0.0,0.0,3.857142857142857,0.0,2.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-03 00:00:00,2026-08-15 00:00:00,ProBiora Health,Sponsored Products > Display (Sponsored Brands) > Display (Amazon DSP) > [Purchase],171.85,3.0,171.85,3.0,1.6666666666666667,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,USD
2026-07-28 00:00:00,2026-08-17 00:00:00,ProBiora Health,Online Video (Sponsored Brands) > Sponsored Products > [Purchase],268.75,5.0,268.75,5.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.4,0.0,0.0,USD
2026-08-03 00:00:00,2026-08-03 00:00:00,ProBiora Health,Streaming TV (Amazon DSP) > [Purchase],21.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,USD
2026-08-02 00:00:00,2026-08-16 00:00:00,ProBiora Health,Display (Amazon DSP) >  (Sponsored Display) > Sponsored Products > [Purchase],268.75,5.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,USD
2026-07-26 00:00:00,2026-08-14 00:00:00,ProBiora Health,Display (Amazon DSP) > Online Video (Amazon DSP) > Sponsored Products > [Purchase],43.9,2.0,0.0,0.0,0.0,0.0,29.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
2026-08-01 00:00:00,2026-08-20 00:00:00,ProBiora Health,Display (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products > [Purchase],154.85,3.0,96.9,2.0,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
2026-08-20 00:00:00,2026-08-20 00:00:00,ProBiora Health,Sponsored Products > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],74.95,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,USD
2026-08-13 00:00:00,2026-08-13 00:00:00,ProBiora Health,(Sponsored Display) > Display (Amazon DSP) > Display (Sponsored Brands) > [Purchase],74.95,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,USD
2026-07-25 00:00:00,2026-08-21 00:00:00,ProBiora Health,Display (Sponsored Brands) > [Purchase],5017.15,94.0,4322.8,81.0,1.3297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-20 00:00:00,2026-08-20 00:00:00,ProBiora Health,Online Video (Amazon DSP) > Display (Amazon DSP) >  (Sponsored Display) > [Purchase],39.95,1.0,0.0,0.0,0.0,0.0,52.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,USD
2026-07-30 00:00:00,2026-08-12 00:00:00,ProBiora Health,(Sponsored Display) > Sponsored Products > [Purchase],251.75,4.0,21.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,USD
2026-07-26 00:00:00,2026-08-22 00:00:00,ProBiora Health,Sponsored Products > Display (Amazon DSP) > [Purchase],5595.3,130.0,3122.5,70.0,0.0,0.0,6.553846153846154,0.0,0.0,0.0,0.0,0.0,2.046153846153846,0.0,0.0,USD
2026-08-02 00:00:00,2026-08-17 00:00:00,ProBiora Health,Online Video (Amazon DSP) > [Purchase],436.45,6.0,57.95,1.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-05 00:00:00,2026-08-13 00:00:00,ProBiora Health,Online Video (Sponsored Brands) > Display (Amazon DSP) > [Purchase],118.85,2.0,74.95,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-08-16 00:00:00,2026-08-16 00:00:00,ProBiora Health,Online Video (Amazon DSP) >  (Sponsored Display) > Display (Amazon DSP) > [Purchase],21.95,1.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,USD
2026-08-08 00:00:00,2026-08-10 00:00:00,ProBiora Health,Online Video (Amazon DSP) > Display (Amazon DSP) > Sponsored Products > [Purchase],74.95,1.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
2026-07-25 00:00:00,2026-08-22 00:00:00,ProBiora Health,Display (Amazon DSP) > [Purchase],14777.49,353.0,2155.65,46.0,0.0,0.0,14.569405099150142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-07-26 00:00:00,2026-08-20 00:00:00,ProBiora Health,Online Video (Amazon DSP) > Sponsored Products > [Purchase],418.65,7.0,149.9,2.0,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,USD
