"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jul 26, 2026","ProBiora Plus","=""593519060535178624""","18.48419","5126","5.6574%","354","6","6","3","50.0000%","220.85000","84.00000","360","8","8","3","0","37.5000%","264.75000","14.32305","84.00000"
"Jul 27, 2026","ProBiora Plus","=""593519060535178624""","18.90552","5696","3.1952%","533","21","9","1","11.1111%","322.96000","22.95000","534","22","9","1","0","11.1111%","322.96000","17.08284","22.95000"
"Jul 28, 2026","ProBiora Plus","=""593519060535178624""","19.23697","5375","3.7767%","267","13","9","1","11.1111%","448.21000","96.95000","276","14","11","2","0","18.1818%","492.16000","25.58407","96.95000"
"Jul 29, 2026","ProBiora Plus","=""593519060535178624""","18.57969","4613","3.9670%","247","16","8","3","37.5000%","311.69000","136.85000","251","16","9","3","0","33.3333%","333.64000","17.95724","136.85000"
"Jul 30, 2026","ProBiora Plus","=""593519060535178624""","19.31605","4507","4.2822%","217","15","11","1","9.0909%","383.35000","21.95000","221","15","11","1","0","9.0909%","383.35000","19.84619","21.95000"
"Jul 31, 2026","ProBiora Plus","=""593519060535178624""","23.63406","6508","2.8427%","432","9","7","3","42.8571%","254.55000","67.85000","435","9","7","3","0","42.8571%","254.55000","10.77047","67.85000"
"Aug 01, 2026","ProBiora Plus","=""593519060535178624""","142.83175","35960","3.9155%","2068","18","9","2","22.2222%","464.55000","149.90000","2089","18","9","2","0","22.2222%","464.55000","3.25243","149.90000"
"Aug 02, 2026","ProBiora Plus","=""593519060535178624""","151.51428","35727","5.0634%","2501","20","14","1","7.1429%","466.99000","21.95000","2545","20","14","1","0","7.1429%","466.99000","3.08215","21.95000"
"Aug 03, 2026","ProBiora Plus","=""593519060535178624""","149.34614","37955","4.5686%","2588","32","14","2","14.2857%","496.01000","95.95000","2702","33","15","2","0","13.3333%","517.96000","3.46818","95.95000"
"Aug 04, 2026","ProBiora Plus","=""593519060535178624""","150.93648","35027","3.5744%","1838","25","16","0","0.0000%","664.99000","0.00000","1905","26","17","0","0","0.0000%","687.94000","4.55781","0.00000"
"Aug 05, 2026","ProBiora Plus","=""593519060535178624""","151.28563","33689","3.8677%","1909","22","19","5","26.3158%","759.39000","269.80000","1983","26","20","5","0","25.0000%","781.34000","5.16467","269.80000"
"Aug 06, 2026","ProBiora Plus","=""593519060535178624""","143.64841","28445","5.9097%","2098","29","10","3","30.0000%","441.45000","193.80000","2203","30","10","3","0","30.0000%","441.45000","3.07313","193.80000"
"Aug 07, 2026","ProBiora Plus","=""593519060535178624""","151.08698","29165","5.7706%","2200","18","11","2","18.1818%","297.24000","44.90000","2292","20","12","2","0","16.6667%","319.19000","2.11262","44.90000"
"Aug 08, 2026","ProBiora Plus","=""593519060535178624""","150.84990","31205","5.9061%","2176","20","14","0","0.0000%","694.47000","0.00000","2298","22","16","0","0","0.0000%","738.37000","4.89473","0.00000"
"Aug 09, 2026","ProBiora Plus","=""593519060535178624""","150.17032","29944","6.3752%","2508","25","14","0","0.0000%","586.96000","0.00000","2631","30","15","0","0","0.0000%","608.91000","4.05480","0.00000"
"Aug 10, 2026","ProBiora Plus","=""593519060535178624""","149.97771","31986","5.3023%","2057","35","20","4","20.0000%","866.93000","159.80000","2141","38","21","4","0","19.0476%","910.83000","6.07310","159.80000"
"Aug 11, 2026","ProBiora Plus","=""593519060535178624""","150.71187","30714","3.4935%","1791","27","11","3","27.2727%","538.17000","149.91000","1879","29","11","3","0","27.2727%","538.17000","3.57085","149.91000"
"Aug 12, 2026","ProBiora Plus","=""593519060535178624""","150.14318","31211","3.4123%","1725","31","12","1","8.3333%","406.14000","21.95000","1804","32","12","1","0","8.3333%","406.14000","2.70502","21.95000"
"Aug 13, 2026","ProBiora Plus","=""593519060535178624""","137.63756","30061","4.0052%","1748","33","14","2","14.2857%","558.30000","114.90000","1809","36","14","2","0","14.2857%","558.30000","4.05631","114.90000"
"Aug 14, 2026","ProBiora Plus","=""593519060535178624""","146.89899","30724","1.2238%","536","33","18","1","5.5556%","833.62000","74.95000","547","38","18","1","0","5.5556%","833.62000","5.67478","74.95000"
"Aug 15, 2026","ProBiora Plus","=""593519060535178624""","147.97167","26531","0.9951%","381","22","14","2","14.2857%","682.30000","149.90000","388","23","14","2","0","14.2857%","682.30000","4.61102","149.90000"
"Aug 16, 2026","ProBiora Plus","=""593519060535178624""","147.06559","29460","0.8384%","304","41","20","0","0.0000%","606.06000","0.00000","317","44","23","0","0","0.0000%","649.98000","4.41966","0.00000"
"Aug 17, 2026","ProBiora Plus","=""593519060535178624""","147.98430","31851","0.7912%","394","32","20","4","20.0000%","734.38000","142.80000","411","36","22","4","0","18.1818%","769.78000","5.20177","142.80000"
"Aug 18, 2026","ProBiora Plus","=""593519060535178624""","147.25135","32919","0.8415%","344","30","20","6","30.0000%","856.54000","264.65000","357","34","24","6","0","25.0000%","980.34000","6.65760","264.65000"
"Aug 19, 2026","ProBiora Plus","=""593519060535178624""","145.67079","31971","0.9759%","361","28","21","0","0.0000%","796.49000","21.95000","371","30","25","1","0","4.0000%","864.65000","5.93564","21.95000"
"Aug 20, 2026","ProBiora Plus","=""593519060535178624""","148.35757","31162","1.0237%","403","32","14","1","7.1429%","796.74000","74.95000","406","34","15","1","0","6.6667%","818.69000","5.51836","74.95000"
