"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Aug 23, 2026","Sprinkle & Sweep","=""576740718313648640""","155.36098","192909","0.1343%","185","41","46","24","52.1739%","950.05000","435.34000","187","43","46","24","0","52.1739%","950.05000","6.11511","435.34000"
"Aug 24, 2026","Sprinkle & Sweep","=""576740718313648640""","154.52524","161089","0.1943%","223","33","45","27","60.0000%","854.09000","518.30000","226","37","49","27","0","55.1020%","1104.04000","7.14472","518.30000"
"Aug 25, 2026","Sprinkle & Sweep","=""576740718313648640""","154.53593","147512","0.2325%","231","37","49","25","51.0204%","880.52000","438.31000","232","38","49","25","0","51.0204%","880.52000","5.69783","438.31000"
"Aug 26, 2026","Sprinkle & Sweep","=""576740718313648640""","151.71995","88468","0.3075%","225","42","54","35","64.8148%","1039.53000","702.11000","227","43","56","35","0","62.5000%","1139.51000","7.51061","702.11000"
"Aug 27, 2026","Sprinkle & Sweep","=""576740718313648640""","154.57234","169436","0.1635%","203","33","58","33","56.8966%","1128.23000","671.32000","205","33","58","33","0","56.8966%","1128.23000","7.29904","671.32000"
"Aug 28, 2026","Sprinkle & Sweep","=""576740718313648640""","153.31241","169934","0.1465%","310","63","48","27","56.2500%","1011.42000","530.17000","310","63","48","27","0","56.2500%","1011.42000","6.59712","530.17000"
"Aug 29, 2026","Sprinkle & Sweep","=""576740718313648640""","154.86133","93166","0.2522%","274","54","64","34","53.1250%","1305.20000","711.58000","274","56","67","35","0","52.2388%","1455.17000","9.39660","711.58000"
"Aug 30, 2026","Sprinkle & Sweep","=""576740718313648640""","117.35895","65665","0.3366%","368","76","55","38","69.0909%","1086.59000","764.25000","370","78","56","38","0","67.8571%","1136.58000","9.68465","764.25000"
"Aug 31, 2026","Sprinkle & Sweep","=""576740718313648640""","108.85856","95797","0.2140%","192","31","36","16","44.4444%","661.93000","339.71000","197","32","38","16","0","42.1053%","761.91000","6.99908","339.71000"
"Sep 01, 2026","Sprinkle & Sweep","=""576740718313648640""","168.56281","198997","0.1377%","238","49","55","27","49.0909%","1128.51000","508.20000","241","50","56","27","0","48.2143%","1178.50000","6.99146","508.20000"
"Sep 02, 2026","Sprinkle & Sweep","=""576740718313648640""","171.84308","192919","0.1063%","214","37","41","15","36.5854%","909.14000","300.71000","215","39","42","15","0","35.7143%","959.13000","5.58143","300.71000"
"Sep 03, 2026","Sprinkle & Sweep","=""576740718313648640""","172.92897","185689","0.1201%","348","75","43","21","48.8372%","739.65000","358.68000","348","77","44","21","0","47.7273%","789.64000","4.56627","358.68000"
"Sep 04, 2026","Sprinkle & Sweep","=""576740718313648640""","171.47313","175829","0.1348%","251","56","44","23","52.2727%","926.27000","505.53000","254","59","46","23","0","50.0000%","1026.25000","5.98490","505.53000"
"Sep 05, 2026","Sprinkle & Sweep","=""576740718313648640""","170.90313","180953","0.1343%","268","57","46","26","56.5217%","935.24000","519.02000","273","58","47","27","0","57.4468%","985.23000","5.76484","519.02000"
"Sep 06, 2026","Sprinkle & Sweep","=""576740718313648640""","172.82532","250318","0.0943%","238","53","45","20","44.4444%","983.00000","435.20000","243","55","46","21","0","45.6522%","1032.99000","5.97708","435.20000"
"Sep 07, 2026","Sprinkle & Sweep","=""576740718313648640""","171.25034","160757","0.1891%","315","71","43","22","51.1628%","838.93000","437.36000","315","73","44","22","0","50.0000%","888.92000","5.19076","437.36000"
"Sep 08, 2026","Sprinkle & Sweep","=""576740718313648640""","172.62871","139814","0.1731%","384","72","48","27","56.2500%","943.48000","541.69000","384","72","48","27","0","56.2500%","943.48000","5.46537","541.69000"
"Sep 09, 2026","Sprinkle & Sweep","=""576740718313648640""","170.88855","205517","0.1323%","280","60","51","21","41.1765%","1051.60000","447.25000","280","60","51","21","0","41.1765%","1051.60000","6.15372","447.25000"
"Sep 10, 2026","Sprinkle & Sweep","=""576740718313648640""","171.79157","218295","0.1347%","225","55","35","20","57.1429%","719.90000","410.75000","227","55","35","20","0","57.1429%","719.90000","4.19054","410.75000"
"Sep 11, 2026","Sprinkle & Sweep","=""576740718313648640""","172.59327","182982","0.1361%","185","44","36","8","22.2222%","871.25000","145.92000","186","44","36","8","0","22.2222%","871.25000","5.04800","145.92000"
"Sep 12, 2026","Sprinkle & Sweep","=""576740718313648640""","171.60402","137439","0.1870%","180","46","56","26","46.4286%","1125.65000","470.70000","180","46","56","26","0","46.4286%","1125.65000","6.55958","470.70000"
"Sep 13, 2026","Sprinkle & Sweep","=""576740718313648640""","172.32248","213191","0.1140%","166","45","54","36","66.6667%","1146.46000","708.17000","166","45","54","36","0","66.6667%","1146.46000","6.65299","708.17000"
"Sep 14, 2026","Sprinkle & Sweep","=""576740718313648640""","171.98670","147549","0.1715%","193","43","38","22","57.8947%","772.30000","404.78000","193","43","38","22","0","57.8947%","772.30000","4.49046","404.78000"
"Sep 15, 2026","Sprinkle & Sweep","=""576740718313648640""","172.28092","148634","0.1467%","188","37","36","17","47.2222%","781.55000","375.79000","188","40","37","18","0","48.6486%","831.54000","4.82665","375.79000"
"Sep 16, 2026","Sprinkle & Sweep","=""576740718313648640""","170.57780","211985","0.0896%","162","35","29","17","58.6207%","605.83000","368.77000","164","35","29","17","0","58.6207%","605.83000","3.55163","368.77000"
"Sep 17, 2026","Sprinkle & Sweep","=""576740718313648640""","170.89790","226187","0.0822%","133","38","39","15","38.4615%","675.48000","259.97000","133","38","39","15","0","38.4615%","675.48000","3.95254","259.97000"
"Sep 18, 2026","Sprinkle & Sweep","=""576740718313648640""","171.76071","606536","0.0397%","150","48","46","18","39.1304%","979.15000","345.73000","152","49","47","18","0","38.2979%","1029.14000","5.99171","345.73000"
"Sep 19, 2026","Sprinkle & Sweep","=""576740718313648640""","169.89634","756179","0.0360%","130","35","40","21","52.5000%","756.87000","368.93000","131","36","40","21","0","52.5000%","756.87000","4.45489","368.93000"
