"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jun 28, 2026","Sud Scrub","=""592506837217117184""","149.01054","45684","0.2474%","536","95","19","12","63.1579%","497.30000","307.37000","550","99","19","12","0","63.1579%","497.30000","3.33735","307.37000"
"Jun 29, 2026","Sud Scrub","=""592506837217117184""","146.06081","54289","0.1750%","452","68","26","19","73.0769%","704.74000","524.81000","468","73","26","19","0","73.0769%","704.74000","4.82498","524.81000"
"Jun 30, 2026","Sud Scrub","=""592506837217117184""","136.83448","47684","0.2600%","456","79","20","9","45.0000%","482.31000","252.40000","461","79","20","9","0","45.0000%","482.31000","3.52477","252.40000"
"Jul 01, 2026","Sud Scrub","=""592506837217117184""","166.27669","73105","0.3502%","470","82","30","24","80.0000%","777.72000","625.08000","488","84","30","24","0","80.0000%","777.72000","4.67726","625.08000"
"Jul 02, 2026","Sud Scrub","=""592506837217117184""","164.07327","53564","0.3528%","502","73","31","22","70.9677%","834.93000","585.02000","525","77","31","22","0","70.9677%","834.93000","5.08876","585.02000"
"Jul 03, 2026","Sud Scrub","=""592506837217117184""","166.32232","49745","0.3377%","537","107","25","15","60.0000%","689.73000","459.83000","562","115","25","15","0","60.0000%","689.73000","4.14695","459.83000"
"Jul 04, 2026","Sud Scrub","=""592506837217117184""","166.16561","52668","0.3797%","478","80","28","19","67.8571%","710.41000","502.29000","498","87","28","19","0","67.8571%","710.41000","4.27531","502.29000"
"Jul 05, 2026","Sud Scrub","=""592506837217117184""","166.45698","69128","0.2618%","541","113","37","23","62.1622%","911.68000","581.80000","557","115","37","23","0","62.1622%","911.68000","5.47697","581.80000"
"Jul 06, 2026","Sud Scrub","=""592506837217117184""","166.22126","56831","0.2727%","538","110","33","25","75.7576%","904.67000","699.75000","552","114","33","25","0","75.7576%","904.67000","5.44256","699.75000"
"Jul 07, 2026","Sud Scrub","=""592506837217117184""","166.24080","66973","0.2479%","506","100","29","21","72.4138%","708.99000","534.07000","519","104","29","21","0","72.4138%","708.99000","4.26484","534.07000"
"Jul 08, 2026","Sud Scrub","=""592506837217117184""","165.09261","60481","0.2348%","453","93","38","18","47.3684%","939.61000","467.30000","476","98","38","18","0","47.3684%","939.61000","5.69141","467.30000"
"Jul 09, 2026","Sud Scrub","=""592506837217117184""","165.71683","60598","0.1650%","523","103","52","30","57.6923%","1366.96000","817.17000","563","109","52","30","0","57.6923%","1366.96000","8.24877","817.17000"
"Jul 10, 2026","Sud Scrub","=""592506837217117184""","166.75864","60124","0.2029%","484","81","37","26","70.2703%","939.59000","664.72000","501","88","37","26","0","70.2703%","939.59000","5.63443","664.72000"
"Jul 11, 2026","Sud Scrub","=""592506837217117184""","166.40679","58669","0.2250%","456","87","39","27","69.2308%","984.59000","719.71000","471","92","39","27","0","69.2308%","984.59000","5.91677","719.71000"
