"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"May 17, 2026","Survival Garden Seeds","=""585570668633819136""","890.32635","420661","0.1928%","2634","405","200","152","76.0000%","1570.77000","0.00000","3984","898","492","331","0","67.2764%","3346.53000","3.75877","2341.59000"
"May 18, 2026","Survival Garden Seeds","=""585570668633819136""","868.25131","410757","0.1974%","2466","422","208","154","74.0385%","1778.21000","0.00000","3990","965","475","330","0","69.4737%","3349.27000","3.85749","2419.48000"
"May 19, 2026","Survival Garden Seeds","=""585570668633819136""","839.44451","334236","0.3758%","2920","401","186","153","82.2581%","1575.30000","0.00000","4129","896","422","319","0","75.5924%","3021.60000","3.59952","2286.15000"
"May 20, 2026","Survival Garden Seeds","=""585570668633819136""","854.58865","329371","0.4411%","3052","400","190","157","82.6316%","1480.45000","0.00000","4286","875","509","366","0","71.9057%","3430.65000","4.01439","2571.44000"
"May 21, 2026","Survival Garden Seeds","=""585570668633819136""","830.60003","416041","0.3632%","2965","349","167","127","76.0479%","1267.23000","0.00000","4230","830","413","288","0","69.7337%","2758.03000","3.32053","1977.43000"
"May 22, 2026","Survival Garden Seeds","=""585570668633819136""","830.92456","390143","0.3742%","2896","340","185","137","74.0541%","1592.26000","0.00000","4208","792","483","320","0","66.2526%","3409.56000","4.10333","2344.24000"
"May 23, 2026","Survival Garden Seeds","=""585570668633819136""","812.73270","296560","0.4684%","3861","478","198","145","73.2323%","1881.04000","0.00000","5159","949","450","302","0","67.1111%","3482.91000","4.28543","2307.72000"
"May 24, 2026","Survival Garden Seeds","=""585570668633819136""","801.69803","302065","0.4347%","3611","448","190","143","75.2632%","1571.70000","0.00000","4879","968","442","304","0","68.7783%","3125.12000","3.89813","2176.49000"
"May 25, 2026","Survival Garden Seeds","=""585570668633819136""","798.99910","311611","0.4859%","3754","464","180","143","79.4444%","1492.36000","0.00000","5074","922","455","301","0","66.1538%","3129.84000","3.91720","2172.81000"
"May 26, 2026","Survival Garden Seeds","=""585570668633819136""","781.28832","303402","0.4285%","3048","352","166","112","67.4699%","1410.19000","0.00000","4251","778","441","280","0","63.4921%","3088.89000","3.95359","2046.73000"
"May 27, 2026","Survival Garden Seeds","=""585570668633819136""","781.20977","317574","0.4645%","3072","357","169","132","78.1065%","1197.18000","0.00000","4232","800","440","313","0","71.1364%","2860.63000","3.66179","2044.73000"
"May 28, 2026","Survival Garden Seeds","=""585570668633819136""","787.45761","363110","0.4649%","2675","337","171","134","78.3626%","1285.80000","0.00000","3850","745","479","329","0","68.6848%","3239.10000","4.11336","2320.21000"
"May 29, 2026","Survival Garden Seeds","=""585570668633819136""","802.03458","360630","0.5463%","2923","348","184","129","70.1087%","1692.61000","0.00000","4116","769","460","313","0","68.0435%","3482.37000","4.34192","2330.57000"
"May 30, 2026","Survival Garden Seeds","=""585570668633819136""","618.22054","266819","0.5015%","2841","334","186","141","75.8065%","1533.63000","0.00000","3981","702","451","292","0","64.7450%","3123.21000","5.05194","2124.03000"
