"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Aug 16, 2026","TheraICE","=""583624002174508416""","510.92601","147206","0.5964%","2676","418","134","109","81.3433%","4368.34000","3647.59000","2749","437","139","112","0","80.5755%","4564.04000","8.93288","3647.59000"
"Aug 17, 2026","TheraICE","=""583624002174508416""","670.03626","208493","0.8034%","3636","604","146","109","74.6575%","4780.30000","3681.78000","3751","630","150","113","0","75.3333%","4900.10000","7.31319","3681.78000"
"Aug 18, 2026","TheraICE","=""583624002174508416""","756.03221","239616","0.5780%","4150","669","165","134","81.2121%","5031.20000","4103.79000","4266","698","170","135","0","79.4118%","5134.99000","6.79203","4103.79000"
"Aug 19, 2026","TheraICE","=""583624002174508416""","641.85587","211505","0.5858%","3846","667","140","108","77.1429%","4065.93000","3325.66000","3954","702","147","114","0","77.5510%","4266.95000","6.64783","3325.66000"
"Aug 20, 2026","TheraICE","=""583624002174508416""","528.16925","172019","0.7075%","2411","358","137","106","77.3723%","4003.05000","3235.89000","2461","377","144","110","0","76.3889%","4228.69000","8.00632","3235.89000"
"Aug 21, 2026","TheraICE","=""583624002174508416""","481.89926","161072","0.6109%","1971","322","118","84","71.1864%","3558.58000","2616.75000","2014","333","123","86","0","69.9187%","3713.34000","7.70564","2616.75000"
"Aug 22, 2026","TheraICE","=""583624002174508416""","463.84282","130409","0.6871%","3941","637","125","95","76.0000%","4227.29000","3201.85000","4035","664","126","96","0","76.1905%","4237.25000","9.13510","3201.85000"
"Aug 23, 2026","TheraICE","=""583624002174508416""","457.42515","130820","0.6757%","2325","387","128","91","71.0938%","4164.24000","3084.80000","2359","394","132","94","0","71.2121%","4323.95000","9.45280","3084.80000"
"Aug 24, 2026","TheraICE","=""583624002174508416""","443.54590","125746","0.6012%","2487","391","138","85","61.5942%","4509.62000","2696.01000","2560","409","141","85","0","60.2837%","4559.49000","10.27964","2696.01000"
"Aug 25, 2026","TheraICE","=""583624002174508416""","435.88524","117244","0.6064%","2455","367","120","94","78.3333%","3815.20000","3052.86000","2521","384","124","96","0","77.4194%","3923.51000","9.00125","3052.86000"
"Aug 26, 2026","TheraICE","=""583624002174508416""","707.16147","248230","0.4182%","2633","457","109","80","73.3945%","3472.45000","2673.40000","2706","469","113","84","0","74.3363%","3600.25000","5.09113","2673.40000"
"Aug 27, 2026","TheraICE","=""583624002174508416""","889.71727","246311","0.5485%","2764","433","159","113","71.0692%","5394.79000","3867.80000","2815","449","165","115","0","69.6970%","5596.47000","6.29017","3867.80000"
