"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jun 28, 2026","Wander Beauty","=""592188208084776576""","148.12994","40337","0.3520%","247","40","26","8","30.7692%","674.21000","213.39000","273","43","29","10","0","34.4828%","738.50000","4.98549","213.39000"
"Jun 29, 2026","Wander Beauty","=""592188208084776576""","146.44967","42077","0.2971%","205","28","24","8","33.3333%","678.26000","258.67000","230","30","25","8","0","32.0000%","690.57000","4.71541","258.67000"
"Jun 30, 2026","Wander Beauty","=""592188208084776576""","137.03852","31813","0.3081%","274","46","21","12","57.1429%","479.13000","346.38000","312","50","24","15","0","62.5000%","569.12000","4.15299","346.38000"
"Jul 01, 2026","Wander Beauty","=""592188208084776576""","196.64308","54607","0.2893%","272","39","26","12","46.1538%","673.14000","292.17000","293","40","27","13","0","48.1481%","685.79000","3.48749","292.17000"
"Jul 02, 2026","Wander Beauty","=""592188208084776576""","197.14714","44431","0.5379%","272","31","21","7","33.3333%","541.12000","208.49000","294","32","23","8","0","34.7826%","582.45000","2.95439","208.49000"
"Jul 03, 2026","Wander Beauty","=""592188208084776576""","199.80893","46779","0.5002%","246","31","25","9","36.0000%","612.20000","227.09000","270","34","27","9","0","33.3333%","647.85000","3.24235","227.09000"
"Jul 04, 2026","Wander Beauty","=""592188208084776576""","200.11662","40683","0.5481%","196","21","19","10","52.6316%","409.78000","222.58000","211","24","20","10","0","50.0000%","449.78000","2.24759","222.58000"
"Jul 05, 2026","Wander Beauty","=""592188208084776576""","200.98435","46165","0.4072%","249","36","14","6","42.8571%","275.88000","116.36000","281","36","16","7","0","43.7500%","300.03000","1.49280","116.36000"
"Jul 06, 2026","Wander Beauty","=""592188208084776576""","199.79047","42621","0.4599%","203","30","21","10","47.6190%","455.32000","211.40000","230","31","23","10","0","43.4783%","471.95000","2.36222","211.40000"
"Jul 07, 2026","Wander Beauty","=""592188208084776576""","199.99834","45637","0.2235%","244","28","18","11","61.1111%","429.54000","261.35000","264","30","23","14","0","60.8696%","506.80000","2.53402","261.35000"
"Jul 08, 2026","Wander Beauty","=""592188208084776576""","224.85358","39833","0.4017%","351","50","19","9","47.3684%","426.83000","204.63000","377","57","24","11","0","45.8333%","488.26000","2.17146","204.63000"
"Jul 09, 2026","Wander Beauty","=""592188208084776576""","190.92594","35090","0.6327%","388","22","19","9","47.3684%","440.41000","246.98000","418","30","23","11","0","47.8261%","534.78000","2.80098","246.98000"
"Jul 10, 2026","Wander Beauty","=""592188208084776576""","199.75589","31847","0.8698%","435","26","16","7","43.7500%","467.29000","189.42000","454","32","18","7","0","38.8889%","494.66000","2.47632","189.42000"
"Jul 11, 2026","Wander Beauty","=""592188208084776576""","199.41758","32962","0.9465%","564","41","17","12","70.5882%","468.60000","328.96000","583","47","20","15","0","75.0000%","503.67000","2.52571","328.96000"
