"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Jun 02, 2026","WOXER","=""592511630609922432""","0.03392","2","0.0000%","191","27","2","0","0.0000%","50.00000","0.00000","238","32","3","0","0","0.0000%","74.00000","2181.60377","0.00000"
"Jun 03, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","239","29","6","1","16.6667%","213.15000","24.00000","291","35","6","1","0","16.6667%","213.15000","0.00000","24.00000"
"Jun 04, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","146","30","4","3","75.0000%","135.00000","76.00000","178","37","4","3","0","75.0000%","135.00000","0.00000","76.00000"
"Jun 05, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","144","21","3","2","66.6667%","105.15000","81.15000","178","26","3","2","0","66.6667%","105.15000","0.00000","81.15000"
"Jun 06, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","148","32","3","0","0.0000%","157.03000","0.00000","195","40","3","0","0","0.0000%","157.03000","0.00000","0.00000"
"Jun 07, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","180","28","2","0","0.0000%","107.00000","0.00000","213","34","2","0","0","0.0000%","107.00000","0.00000","0.00000"
"Jun 08, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","126","23","5","1","20.0000%","246.15000","45.15000","162","28","5","1","0","20.0000%","246.15000","0.00000","45.15000"
"Jun 09, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","94","15","4","1","25.0000%","224.06000","59.00000","123","16","4","1","0","25.0000%","224.06000","0.00000","59.00000"
"Jun 10, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","88","21","4","0","0.0000%","104.00000","0.00000","105","25","4","0","0","0.0000%","104.00000","0.00000","0.00000"
"Jun 11, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","85","10","1","0","0.0000%","43.84000","0.00000","104","11","1","0","0","0.0000%","43.84000","0.00000","0.00000"
"Jun 12, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","83","10","0","0","0.0000%","0.00000","0.00000","98","12","0","0","0","0.0000%","0.00000","0.00000","0.00000"
"Jun 13, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","60","13","0","0","0.0000%","0.00000","0.00000","78","15","3","0","0","0.0000%","87.00000","0.00000","0.00000"
"Jun 14, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","32","11","0","0","0.0000%","0.00000","0.00000","42","11","0","0","0","0.0000%","0.00000","0.00000","0.00000"
"Jun 15, 2026","WOXER","=""592511630609922432""","0.00000","0","0.0000%","3","0","0","0","0.0000%","0.00000","0.00000","3","0","0","0","0","0.0000%","0.00000","0.00000","0.00000"
